ชื่อกิจกรรม,Organizer,หมวด,จำนวนชั่วโมง (ชม.),สถานที่,วันที่เริ่ม,วันที่จบ,ช่องทางการติดต่อ,สถานะ,รายละเอียด
ค่ายความรู้สู่ชนบท ครั้งที่ 28,ชมรมโรตาแรคท์ (Rotaract),กิจกรรมเพื่อสังคม,80,โรงเรียนหนองขามวิทยาคม ต.หนองขาม อ.ศีขรภูมิ จ.สุรินทร์,24/05/2020 08:00,02/06/2020 20:00,https://www.facebook.com/rokaset/,สิ้นสุดกิจกรรม,ค่ายอาสาพัฒนาชุมชน สมัครได้ตั้งแต่ 10 พ.ย. 2561 ถึง 17 พ.ย. 2561
ค่ายความรู้สู่ชนบท ครั้งที่ 29,ชมรมโรตาแรคท์ (Rotaract),กิจกรรมเพื่อสังคม,80,โรงเรียนบ้านดงลาน ต.วะตะแบก อ.เทพสถิต จ.ชัยภูมิ,14/04/2020 08:00,25/04/2020 20:00,https://www.facebook.com/rokaset/,ยกเลิกกิจกรรม,ค่ายอาสาพัฒนาชุมชน สมัครได้ตั้งแต่ 10 มี.ค. 2562 ถึง 17 มี.ค. 2562
ค่ายความรู้สู่ชนบท ครั้งที่ 30,ชมรมโรตาแรคท์ (Rotaract),กิจกรรมเพื่อสังคม,80,โรงเรียนบ้านห้วยโจด ต.บัวใหญ่ อ.บัวใหญ่ จ.นครราชสีมา,22/11/2020 08:00,01/12/2020 20:00,https://www.facebook.com/rokaset/,เปิดรับสมัคร,ค่ายอาสาพัฒนาชุมชน สมัครได้ตั้งแต่ 10 ต.ค. 2563 ถึง 17 ต.ค. 2563
ค่ายโรตาแลคท์พอเพียง ตามรอยพระราชดำริ,ชมรมโรตาแรคท์ (Rotaract),กิจกรรมเพื่อสังคม,24,เขตอนรักษ์พันธ์สัตว์ป่าสลักพระ,24/11/2019 08:00,26/11/2019 16:00,https://www.facebook.com/rokaset/,สิ้นสุดกิจกรรม,ค่ายอาสาพัฒนาชุมชน สมัครได้ตั้งแต่ 10 พ.ย. 2562 ถึง 17 พ.ย. 2562
ทำความดี บริจาคโลหิต น้อมจิตรำลึก สำนักในพระมหากรุณาธิคุณถวายเป็นพระราชกุศลแด่พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช,คณะวิทยาศาสตร์ มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,กิจกรรมเพื่อสังคม,3,ห้องประชุมทวีั ชั้น2 อาคารทวี ญาณสุคนธ์ คณะวิทยาศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,15/10/2019 08:30,15/10/2019 12:30,0-2562-5555 ต่อ 646143 หรือ 	fscikno@ku.ac.th,สิ้นสุดกิจกรรม,กิจกรรมบริจาคโลหิต เพื่อช่วยผู้ที่ประสบภัยหรืออุบัติเหตุ เนื่องในโอกาสครับรอบ 83 ปี ของคณะวิศวกรรมศาสตร์
โครงการบริจาคโลหิตเนื่องในโอกาสคณะวิศวกรรมศาสตร์ ครบรอบ 83 ปี,คณะวิศวกรรมศาสตร์ ชุมนุมนิสิตภาควิชาวิศวกรรมเคมี,กิจกรรมเพื่อสังคม,2,อาคารชูชาติ กำภู คณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,15/11/2020 08:30,15/11/2020 12:30,https://www.facebook.com/kusab.bk,รอจัดกิจกรรม,กิจกรรมบริจาคโลหิต เพื่อช่วยผู้ที่ประสบภัยหรืออุบัติเหตุ
"อบรมเยาวชน หลักสูตร ""จิตอาสาพระราชทาน 904""",	กองกิจการนิสิต ฝ่ายพัฒนานิสิต,กิจกรรมเพื่อสังคม,3,ห้องประชุมสุธรรมอารีกุล อาคารสารนิเทศ 50 ปี,15/08/2020 09:00,15/08/2020 12:00,0892499445 หรือ psdnrb@ku.ac.th,สิ้นสุดกิจกรรม,กิจกรรมอบรมเพื่อพัฒนาความคิดและแนวทางการช่วยเหลือและเป็นจิตอาสา
เกษตรอาสา ตุลารวมใจ,	กองกิจการนิสิต ฝ่ายพัฒนานิสิต,กิจกรรมเพื่อสังคม,4,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,17/11/2019 09:00,17/11/2019 13:00,0892499445 หรือ psdnrb@ku.ac.th,สิ้นสุดกิจกรรม,กิจกรรมอบรมเพื่อพัฒนาความคิดและแนวทางการช่วยเหลือและเป็นจิตอาสา
ก้าวแรกสู่ศาสตร์แห่งแผ่นดินประจำปีการศึกษา 2561,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,กิจกรรมมหาวิทยาลัย,1,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,18/05/2018 09:00,18/05/2018 15:00,https://www.facebook.com/kusab.bk,สิ้นสุดกิจกรรม,กิจกรรมก้าวแรก เพื่อให้น้องๆมหาวิทยาเกษตรศาสตร์ ได้รู้จักมหาวิทยาลัยมากขึ้น
เข้าแถวรับ-ส่งเสด็จพระราชดำเนินงานพิธีพระราชทานปริญญาบัตรปีการศึกษา 2563,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,กิจกรรมมหาวิทยาลัย,4,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,14/10/2020 12:00,14/10/2020 16:00,https://www.facebook.com/kusab.bk,รอจัดกิจกรรม,สำหรับน้องๆนักศึกษาปี 1 และต้องสวมใส่ชุดพิธี
เข้าแถวส่งบัณฑิตงานพิธีพระราชทางปริญญาบัตรปีการศึกษา 2563,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,กิจกรรมมหาวิทยาลัย,2,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,14/10/2020 12:00,14/10/2020 16:00,https://www.facebook.com/kusab.bk,รอจัดกิจกรรม,สำหรับน้องๆนักศึกษาปี 1 และต้องสวมใส่ชุดพิธี
เข้าแถวส่งบัณฑิตงานพิธีพระราชทางปริญญาบัตรปีการศึกษา 2561,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,กิจกรรมมหาวิทยาลัย,2,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,10/06/2018 12:00,10/06/2018 16:00,https://www.facebook.com/kusab.bk,สิ้นสุดกิจกรรม,สำหรับน้องๆนักศึกษาปี 1 และต้องสวมใส่ชุดพิธี
